CPF,LimiteCredito,Score,RendaMensal,DataAtualizacao
87094125305,3198.19,677,18313.16,2025-04-21
70641593252,10257.8,507,16880.04,2025-04-21
13874569039,5594.11,849,15814.73,2025-04-21
45386971255,7958.26,383,18964.96,2025-04-21
92041586389,6225.13,851,10304.34,2025-04-21
48956371075,8755.88,498,7138.43,2025-04-21
13950678484,19280.14,399,7461.38,2025-04-21
85109463298,1592.87,771,14966.76,2025-04-21
98134207588,14816.72,629,2779.44,2025-04-21
74259618067,19071.11,530,10615.56,2025-04-21
50614728967,14612.37,793,12544.84,2025-04-21
63580927159,9010.96,376,19194.62,2025-04-21
89264173528,1023.4,699,12927.91,2025-04-21
61957042370,6891.18,557,9438.13,2025-04-21
49310762543,15659.96,696,15863.64,2025-04-21
96473210822,12943.19,473,18388.3,2025-04-21
13894760222,1218.26,665,13600.55,2025-04-21
04578219305,19880.51,529,1437.74,2025-04-21
19783256491,12795.99,763,11264.15,2025-04-21
47268051930,2937.94,481,14679.31,2025-04-21
79268150476,9512.76,676,14909.67,2025-04-21
09124675849,2787.04,943,16926.97,2025-04-21
30168572435,16163.87,364,19342.66,2025-04-21
16350247906,6826.42,325,11856.64,2025-04-21
81902746350,9260.35,313,2397.32,2025-04-21
43078291669,1287.3,526,3886.46,2025-04-21
21647903599,10081.31,877,2576.56,2025-04-21
45732908188,9905.81,648,13866.95,2025-04-21
09837456256,4957.87,613,10334.98,2025-04-21
50684219794,9260.68,920,2085.36,2025-04-21
43651790800,17530.0,803,11939.78,2025-04-21
48360517975,8062.79,321,11099.23,2025-04-21
03619872422,11502.16,857,12171.82,2025-04-21
94603527829,10005.69,545,3098.99,2025-04-21
69514780310,6906.62,572,14160.28,2025-04-21
19406852306,5002.1,455,12898.21,2025-04-21
23890146589,19746.04,808,18665.14,2025-04-21
49263180598,11509.44,948,12138.73,2025-04-21
21485673909,13201.7,704,19401.58,2025-04-21
64725013943,1793.51,653,11200.78,2025-04-21
93217084560,9942.76,319,11290.95,2025-04-21
13972605803,17799.03,524,3609.2,2025-04-21
47012658967,10954.14,867,10645.78,2025-04-21
21830746987,18195.83,950,14873.16,2025-04-21
25378049105,17764.21,731,12875.78,2025-04-21
15683204933,9770.34,562,13378.96,2025-04-21
31428065717,8643.24,986,1270.98,2025-04-21
16347285991,15372.38,374,15904.03,2025-04-21
60794851339,9288.39,411,8882.89,2025-04-21
54912687391,1477.43,880,19598.39,2025-04-21
23495071652,16724.9,938,7525.61,2025-04-21
25461370934,9916.78,606,14045.0,2025-04-21
40879265167,5839.0,534,13351.1,2025-04-21
60157284344,19431.05,848,3243.2,2025-04-21
47360812950,8023.47,546,16710.04,2025-04-21
84203976529,3941.97,394,15178.8,2025-04-21
34965718020,14762.93,455,17658.44,2025-04-21
18475309232,19342.34,748,12453.66,2025-04-21
70345891279,904.24,397,10323.26,2025-04-21
80396725465,9215.81,556,6245.26,2025-04-21
54213706907,6672.69,873,15588.75,2025-04-21
38945716084,5875.32,605,18247.76,2025-04-21
12693754070,13481.15,681,15152.96,2025-04-21
50231497652,17922.34,616,13264.28,2025-04-21
16420389542,15438.91,644,9787.41,2025-04-21
34675102808,4835.68,394,7734.82,2025-04-21
32419567099,6465.21,564,12444.93,2025-04-21
05926317452,11740.29,388,2795.24,2025-04-21
26045137906,3383.35,692,5588.11,2025-04-21
24783615900,11444.8,631,17127.4,2025-04-21
62031459716,7469.07,690,13452.55,2025-04-21
69541702830,10778.13,593,5787.88,2025-04-21
45238701608,17070.61,393,17746.45,2025-04-21
12376450853,14593.45,444,18341.8,2025-04-21
46359807157,15446.32,740,11626.0,2025-04-21
29410637813,8708.77,735,9376.9,2025-04-21
80267435126,14637.92,400,17187.15,2025-04-21
73981250621,2825.64,352,19007.15,2025-04-21
20934617813,9567.54,746,8304.32,2025-04-21
29534867047,9461.86,921,11428.02,2025-04-21
06428917378,19581.67,750,8185.43,2025-04-21
49102835797,15494.79,692,10435.84,2025-04-21
01467395234,2273.19,976,16464.33,2025-04-21
73845106271,6133.96,444,9763.46,2025-04-21
37069415206,13750.08,727,4563.12,2025-04-21
24765318982,14085.38,300,3693.53,2025-04-21
07329841650,15143.15,855,19522.54,2025-04-21
54671308975,4621.11,557,5260.24,2025-04-21
89075134657,9353.32,484,16469.11,2025-04-21
57309186230,17235.04,562,8503.07,2025-04-21
73461895075,19351.95,998,10229.97,2025-04-21
60431852960,1380.5,472,5221.21,2025-04-21
83142507914,19892.39,403,9267.07,2025-04-21
89503762456,7806.75,655,5990.96,2025-04-21
46507238929,5489.67,930,16158.07,2025-04-21
26701589430,4157.74,629,15931.38,2025-04-21
78592106303,872.34,712,2860.52,2025-04-21
18057924667,19877.12,462,8843.0,2025-04-21
58016324762,8436.16,398,5354.11,2025-04-21
27584103979,19477.06,468,11811.18,2025-04-21
84351926791,16964.63,755,9057.64,2025-04-21
61289730431,10635.65,543,18697.73,2025-04-21
96084137296,11274.67,360,5343.42,2025-04-21
50896327159,10345.55,799,1876.7,2025-04-21
28704653190,12776.1,328,11753.94,2025-04-21
15902467306,15319.88,841,2947.2,2025-04-21
10645892785,1124.65,523,19575.65,2025-04-21
91324876069,9450.03,960,12621.48,2025-04-21
01453796800,9305.22,474,3481.14,2025-04-21
31574820923,18247.9,379,5252.47,2025-04-21
39501742652,16451.93,947,6001.0,2025-04-21
73405186900,2579.65,997,2879.13,2025-04-21
38706524974,13358.33,721,4307.8,2025-04-21
46352781071,17322.62,787,18103.81,2025-04-21
54819706276,14389.35,388,5408.6,2025-04-21
36708954265,11245.08,374,16790.84,2025-04-21
80713952423,5096.38,628,9156.0,2025-04-21
29574318079,10852.57,787,3893.51,2025-04-21
35240861790,15612.93,359,2838.41,2025-04-21
60173924840,14621.24,598,8193.39,2025-04-21
71530894620,8976.13,550,19075.46,2025-04-21
72145893628,4536.09,544,3380.63,2025-04-21
73651980448,14344.33,712,15780.85,2025-04-21
90173284604,10861.78,604,4615.16,2025-04-21
36541728062,16757.01,528,17679.6,2025-04-21
31890724505,17817.07,468,7233.12,2025-04-21
18603427526,19924.21,709,8546.55,2025-04-21
19870362559,8065.8,568,11518.11,2025-04-21
76304219580,3990.84,523,3451.53,2025-04-21
32780469196,6524.61,875,13647.63,2025-04-21
49135028750,779.13,832,9735.12,2025-04-21
42930157607,9995.9,688,7460.25,2025-04-21
29413576025,19102.3,686,9428.74,2025-04-21
38520761453,17096.77,648,14568.86,2025-04-21
39574680193,3549.63,919,9020.45,2025-04-21
32417806940,19798.12,621,8901.08,2025-04-21
12687034517,6836.79,303,13461.1,2025-04-21
74629580310,12784.23,845,7230.76,2025-04-21
01832976440,11108.26,980,18609.74,2025-04-21
07614395875,6602.9,448,2150.57,2025-04-21
79526134800,5518.89,699,3416.87,2025-04-21
